ligand_id	library_id	docking_score_1d3g	docking_score_1d3h	docking_score_4igh	docking_score_6j3c
CHEMBL218085	dude_actives	6.867805481	4.6997685432	4.6715164185	4.8318786621
CHEMBL48928	dude_actives	5.8558149338	4.9636712074	3.896014452	5.7070937157
CHEMBL106930	dude_actives	3.7746138573	3.929984808	3.7803549767	4.1994180679
CHEMBL193365	dude_actives	4.8486289978	5.5527701378	4.0692834854	4.6776385307
CHEMBL197553	dude_actives	4.7901229858	4.5849866867	4.4523029327	5.1969437599
CHEMBL290674	dude_actives	7.2511348724	3.7891974449	3.9211549759	4.5212397575
CHEMBL193371	dude_actives	4.1473793983	4.0707259178	3.9713096619	4.4823498726
CHEMBL430760	dude_actives	1.1892085075	4.4737701416	3.7998104095	3.4511284828
CHEMBL49089	dude_actives	4.6389918327	3.9179022312	5.7109904289	1.5515646935
CHEMBL195163	dude_actives	4.8573846817	3.97646451	4.2650561333	1.7818198204
CHEMBL196181	dude_actives	4.8569998741	4.3753781319	4.4385919571	6.8613390923
CHEMBL108327	dude_actives	0.6966048479	0.6288619041	1.3508464098	3.2082102299
CHEMBL1088742	dude_actives	5.4894962311	4.6866412163	5.2200546265	5.1387209892
CHEMBL50441	dude_actives	7.2364974022	2.6761820316	5.6627435684	6.0619363785
CHEMBL195246	dude_actives	4.8677868843	4.7946200371	4.271279335	5.3065333366
CHEMBL218169	dude_actives	5.7144012451	1.9609482288	2.6515789032	2.7262508869
CHEMBL202431	dude_actives	4.7438669205	4.4166779518	3.6233351231	4.4476914406
CHEMBL199361	dude_actives	3.7353756428	4.1581015587	4.847533226	3.0946993828
CHEMBL345701	dude_actives	3.7006065845	3.6648077965	4.5032219887	2.246762991
CHEMBL194075	dude_actives	3.2843904495	3.2240700722	3.6414067745	2.6130156517
CHEMBL194776	dude_actives	4.6637101173	4.5841383934	5.4094386101	5.0344452858
CHEMBL349577	dude_actives	1.1161140203	3.7078566551	3.7747857571	1.1154078245
CHEMBL48531	dude_actives	5.6016163826	4.1883182526	5.02673769	3.908980608
CHEMBL194955	dude_actives	3.1967306137	3.0053627491	4.1099095345	1.1719065905
CHEMBL194954	dude_actives	1.3514134884	3.1435115337	4.7060585022	1.4948707819
CHEMBL154623	dude_actives	4.035692215	2.7435443401	4.2322034836	2.7608306408
CHEMBL342220	dude_actives	3.0416762829	2.3776283264	1.0365986824	2.7428174019
CHEMBL143552	dude_actives	3.1044149399	3.1588087082	2.8197972775	3.0370185375
CHEMBL359171	dude_actives	2.2933270931	1.7458851337	2.1926391125	2.9152133465
CHEMBL341925	dude_actives	1.7506334782	2.0085113049	1.6360826492	1.725810647
CHEMBL143345	dude_actives	4.1548895836	3.2648487091	3.350143671	3.9693911076
CHEMBL442030	dude_actives	0.7784937024	2.4411945343	2.5529546738	3.9021430016
CHEMBL141304	dude_actives	1.036771059	3.339507103	1.7693893909	0.9382854104
CHEMBL142444	dude_actives	0.0814727247	1.696223259	2.2096865177	0.343093574
CHEMBL143628	dude_actives	2.3216369152	0.6835467219	1.3268591166	1.2185951471
C21325806	dude_decoys_a	4.4396820068	4.5703392029	3.2125785351	2.0827281475
C44499109	dude_decoys_a	3.3431820869	3.5514874458	0.798692286	3.2427096367
C25057744	dude_decoys_a	4.3798518181	4.4003205299	4.7711806297	3.8883259296
C23053397	dude_decoys_a	5.5851025581	5.2014722824	3.9050228596	4.1875324249
C07816319	dude_decoys_a	1.994674325	1.380561471	1.716668129	1.2701662779
C12082747	dude_decoys_a	3.5308907032	3.2064316273	0.5318846107	2.2722189426
C47835616	dude_decoys_a	4.3544411659	3.5523598194	2.5697374344	2.9136667252
C48642460	dude_decoys_a	4.4103283882	4.0146474838	3.5304775238	5.0438761711
C04743482	dude_decoys_a	5.3357405663	5.0535616875	4.3226594925	4.4558663368
C49399371	dude_decoys_a	3.8787403107	4.1077632904	3.8131799698	2.377532959
C07654748	dude_decoys_a	4.5162377357	3.5583491325	3.4414269924	3.6305735111
C36275453	dude_decoys_a	4.3494710922	4.1541900635	2.6464617252	3.762622118
C43680439	dude_decoys_a	3.4882924557	2.4864497185	3.6476476192	3.1369016171
C49915123	dude_decoys_a	3.4577567577	4.3041443825	2.3732461929	3.0190947056
C11948595	dude_decoys_a	4.7597932816	3.380739212	4.5824327469	3.5558390617
C05687897	dude_decoys_a	1.1240907907	1.5295948982	1.0886650085	0.6230709553
C67503326	dude_decoys_a	3.3192327023	3.6308703423	3.0333943367	1.7440624237
C49053769	dude_decoys_a	2.5887496471	4.3005480766	2.1490006447	3.5031936169
C04735771	dude_decoys_a	2.9342546463	1.0175429583	3.110243082	3.2328088284
C45257584	dude_decoys_a	3.6982374191	4.7735424042	3.4878280163	3.3049337864
C66316410	dude_decoys_a	4.1062893867	2.9856379032	3.7404413223	3.2474775314
C67503322	dude_decoys_a	4.1451668739	4.9542098045	3.5091538429	2.8118326664
C46703592	dude_decoys_a	2.4552032948	3.6622874737	3.2234096527	4.1930675507
C02327518	dude_decoys_a	4.5840353966	2.6759314537	3.6647217274	4.441385746
C23339243	dude_decoys_a	3.404861927	1.0489709377	1.6214621067	1.5616533756
C58493049	dude_decoys_a	2.0233359337	2.8372173309	1.7682521343	1.1985864639
C08345117	dude_decoys_a	2.2671620846	1.686147213	2.456990242	1.4218589067
C21313945	dude_decoys_a	4.305003643	3.361638546	3.1642763615	4.1595101357
C20157660	dude_decoys_a	1.5912085772	1.8199211359	1.6665283442	3.9012024403
C40925650	dude_decoys_a	4.4199662209	4.5624761581	3.9411709309	1.6632211208
C53750521	dude_decoys_a	2.5450446606	4.0942955017	3.1733174324	2.9228444099
C06500286	dude_decoys_a	2.5733733177	2.5658984184	1.1648842096	2.8656818867
C01711644	dude_decoys_a	4.2003626823	3.1506121159	2.2928490639	3.4277107716
C36851505	dude_decoys_a	3.404957056	5.7815909386	5.3114361763	5.081454277
C35506627	dude_decoys_a	2.2170140743	2.6778094769	2.2770776749	1.7510793209
C35369100	dude_decoys_a	4.9166197777	3.8864834309	3.0730333328	3.4038589001
C49041322	dude_decoys_a	0.8952660561	2.5642299652	0.3597534001	2.7576522827
C37282949	dude_decoys_a	4.4109339714	2.808000803	1.5750287771	2.4456694126
C40001673	dude_decoys_a	3.1036119461	4.0002384186	2.721501112	2.6999716759
C14974045	dude_decoys_a	2.4504745007	1.9069197178	2.6250247955	1.2840949297
C05053550	dude_decoys_a	2.908778429	3.7016153336	2.0164606571	2.8343336582
C07850975	dude_decoys_a	3.8054561615	2.8378255367	3.1935176849	3.013520956
C62200595	dude_decoys_a	3.004601717	3.7467834949	2.8041408062	2.4504756927
C05163239	dude_decoys_a	2.9134542942	3.9979398251	3.1256227493	2.1737201214
C07003274	dude_decoys_a	3.4446818829	3.5238144398	2.7917304039	2.5078926086
C64795785	dude_decoys_a	4.0863218307	3.7964222431	0.4788323641	3.4503684044
C49278245	dude_decoys_a	2.3566598892	2.5266208649	2.2196075916	0.98962152
C05355769	dude_decoys_a	4.2120661736	5.0921244621	3.5963149071	4.1706318855
C06946302	dude_decoys_a	0.9326895475	2.6802666187	2.09993577	2.6119785309
C05586100	dude_decoys_a	3.5855176449	4.8003826141	1.4702928066	1.0587007999
C40891187	dude_decoys_a	4.8338527679	5.1321372986	3.4544184208	4.318862915
C14596251	dude_decoys_a	2.9803340435	3.6223053932	3.2735960484	2.0975985527
C14241240	dude_decoys_a	4.9228081703	5.0145702362	2.2612226009	3.8393933773
C40123139	dude_decoys_a	4.1441926956	4.0663499832	4.858464241	4.6451220512
C03495607	dude_decoys_a	0.7151923776	2.9231822491	4.4048190117	1.1020835638
C23466042	dude_decoys_a	4.8213653564	4.7052288055	3.8071219921	1.4498226643
C14094918	dude_decoys_a	3.9034230709	3.5928137302	1.337528348	2.2172672749
C40067299	dude_decoys_a	2.702270031	1.9536963701	2.4952132702	3.2673022747
C39541492	dude_decoys_a	4.2666277885	3.758405447	3.3270235062	2.1774802208
C64714337	dude_decoys_a	3.9949367046	1.9844144583	2.9349217415	3.4869925976
C52053755	dude_decoys_a	3.5681738853	3.8513650894	4.7440452576	2.7989108562
C04939096	dude_decoys_a	2.8402166367	1.7379473448	1.6510310173	0.9412044883
C08743548	dude_decoys_a	1.6299744844	3.7989087105	1.3218386173	3.5794262886
C00257364	dude_decoys_a	3.3536779881	1.2558757067	0.6274290085	2.4675223827
C19939764	dude_decoys_a	1.7508157492	2.0751850605	2.0001935959	1.3964648247
C07275656	dude_decoys_a	2.1560692787	2.6402232647	1.3598552942	2.1961584091
C55493907	dude_decoys_a	4.0798668861	5.7754631042	2.9378359318	4.7550201416
C15603143	dude_decoys_a	4.7024927139	4.5510220528	3.9058730602	3.8727259636
C06870031	dude_decoys_a	0.5988358259	0.8441414833	1.266082406	0.8127123117
C37975122	dude_decoys_a	3.4426403046	3.1711199284	3.7844879627	4.5721497536
C58159842	dude_decoys_a	3.5963084698	1.6873704195	2.4268882275	2.9448974133
C49447818	dude_decoys_a	2.9744155407	3.200056076	1.5760442019	1.4063543081
C37019611	dude_decoys_a	3.8552103043	2.187722683	1.3061351776	3.570430994
C41393978	dude_decoys_a	1.9004040956	2.339012146	1.333501339	1.2229737043
C41373401	dude_decoys_a	3.3309447765	3.8522326946	2.8508381844	2.9307796955
C06859017	dude_decoys_a	4.2616100311	1.4106758833	2.612634182	3.3290495872
C08683205	dude_decoys_a	4.157392025	3.8534324169	2.3957595825	2.7857511044
C52963267	dude_decoys_a	2.0703020096	2.750576973	3.0724103451	1.9438797235
C41394344	dude_decoys_a	1.1551743746	0.9859732985	1.0499699116	2.8261847496
C37362105	dude_decoys_a	3.585919857	4.3345365524	3.1269817352	2.3024895191
C12340466	dude_decoys_a	3.4675371647	1.8944401741	1.2044477463	2.0713062286
C48860650	dude_decoys_a	3.5888826847	3.6141922474	0.574688673	4.6380419731
C38702721	dude_decoys_a	3.7692246437	2.172908783	4.4752936363	2.0085721016
C33276324	dude_decoys_a	5.3803296089	4.3264727592	5.3385863304	3.1072463989
C07213053	dude_decoys_a	2.8858408928	3.2575144768	2.0720465183	2.8251159191
C38756136	dude_decoys_a	1.7543321848	2.8554656506	4.1410660744	1.2694730759
C63889612	dude_decoys_a	1.9821797609	3.6181604862	0.8873283863	1.5811271667
C37302919	dude_decoys_a	3.7798297405	3.7184813023	3.2871379852	2.3314404488
C08207025	dude_decoys_a	4.3486971855	2.3968286514	3.7513728142	3.6177349091
C07417501	dude_decoys_a	2.9055399895	1.3584907055	1.9872837067	2.0089392662
C64310891	dude_decoys_a	1.9419116974	1.1218755245	1.7487074137	1.3669575453
C44897115	dude_decoys_a	3.2813858986	4.7234182358	3.3806078434	4.2704815865
C08329126	dude_decoys_a	4.531750679	3.1822948456	3.2067482471	2.9123899937
C06333311	dude_decoys_a	2.9175438881	2.1263446808	2.3559596539	2.5128185749
C48674103	dude_decoys_a	1.9608727694	1.6758679152	1.733599782	1.7135512829
C31914109	dude_decoys_a	5.3711681366	4.1921114922	4.5117411613	4.5683031082
C07654535	dude_decoys_a	2.3604898453	4.3952069283	0.8559375405	1.5212954283
C61706999	dude_decoys_a	4.0214552879	3.7762143612	3.2406857014	4.3129673004
C16957565	dude_decoys_a	0.4579595923	3.4310016632	1.4123859406	0.7148146033
C00253836	dude_decoys_a	3.4257371426	2.1160125732	0.7684122324	1.1805582047
C02270902	dude_decoys_a	1.0770685673	1.6378808022	1.9857593775	0.8383840322
C04151463	dude_decoys_a	1.6498692036	1.5852569342	2.559024334	1.2925226688
C40857555	dude_decoys_a	2.6153333187	4.4026589394	2.1150939465	2.1689739227
C37087058	dude_decoys_a	3.5517375469	2.5027561188	3.097530365	3.6044678688
C21319381	dude_decoys_a	5.6383118629	4.524980545	5.7862095833	3.2200844288
C61362317	dude_decoys_a	1.9948316813	2.9587533474	2.0258040428	2.4517621994
C47382994	dude_decoys_a	3.7291896343	3.608645916	2.5055048466	1.8082492352
C05204212	dude_decoys_a	2.8692700863	1.8858827353	0.8908672929	4.1530570984
C48456377	dude_decoys_a	0.5065687299	1.2486438751	1.0278097391	3.0133173466
C14805809	dude_decoys_a	4.7368459702	2.0606019497	0.7666913867	2.2526879311
C02246344	dude_decoys_a	3.5224940777	3.004724741	1.1825122833	0.619538188
C36709494	dude_decoys_a	6.2000002861	5.5320372581	5.1381282806	5.0727953911
C33326667	dude_decoys_a	4.2994890213	1.8593326807	4.2554860115	4.464325428
C66517506	dude_decoys_a	1.6573808193	4.2027134895	3.1809079647	2.0384340286
C00193548	dude_decoys_a	1.8282694817	1.9094982147	0.7422424555	1.3924902678
C61956739	dude_decoys_a	3.6216170788	3.9380824566	1.1493053436	1.9011987448
C14854441	dude_decoys_a	6.1341938972	6.5476694107	4.1418919563	3.8010110855
C66492405	dude_decoys_a	2.2790193558	1.2704691887	1.0812265873	1.6662063599
C04911098	dude_decoys_a	2.4097788334	2.6019146442	3.0420455933	1.9565023184
C09338868	dude_decoys_a	5.3235569	5.6748623848	4.9925985336	5.8928570747
C35042510	dude_decoys_a	3.510216713	1.35817945	3.5656225681	2.3068583012
C44928824	dude_decoys_a	3.1008107662	1.7620068789	2.1356065273	2.0077362061
C61640293	dude_decoys_a	3.4589841366	2.4334025383	2.5776290894	1.0983188152
C04546273	dude_decoys_a	3.9414730072	2.9289271832	3.0558593273	5.1482949257
C66562818	dude_decoys_a	1.057490468	1.2986946106	2.1276900768	1.5384788513
C32865709	dude_decoys_a	2.7821605206	3.5589761734	2.0598819256	3.6501076221
C04554893	dude_decoys_a	1.2046861649	2.0883820057	2.2947282791	2.4114663601
C19945567	dude_decoys_a	5.3602185249	5.4668869972	3.9727756977	4.4367551804
C62966534	dude_decoys_a	0.9504083991	1.0462423563	0.6503824592	1.1065005064
C28220993	dude_decoys_a	2.5144159794	1.8326470852	2.3480110168	3.0990374088
C07319748	dude_decoys_a	5.4352436066	4.070833683	4.6853981018	5.2786660194
C36197866	dude_decoys_a	2.6226718426	3.4298210144	1.000762105	2.3213946819
C04911345	dude_decoys_a	2.9079885483	5.3335847855	2.7876288891	3.1395301819
C62496337	dude_decoys_a	3.3347713947	4.2283244133	3.7500407696	3.4925777912
C10187280	dude_decoys_a	2.362541914	1.1506911516	0.6214993596	2.1565966606
C42025370	dude_decoys_a	4.0049185753	1.6622825861	3.4840633869	2.6651222706
C21874324	dude_decoys_a	1.0809804201	1.4343341589	1.3110690117	0.6500645876
C67176970	dude_decoys_a	2.7177815437	3.075663805	0.9644744992	2.8969647884
C24320986	dude_decoys_a	3.2167613506	0.9328289628	1.8780515194	1.8294192553
C64977983	dude_decoys_a	1.8948127031	2.6584253311	3.5969080925	3.0123155117
C38744621	dude_decoys_a	1.8623274565	3.5256412029	1.9942781925	2.6192724705
C04308694	dude_decoys_a	4.4464082718	4.0072779655	3.344627142	3.8609316349
C37555482	dude_decoys_a	2.9977340698	4.5765385628	1.387009263	2.0500576496
C13522210	dude_decoys_a	3.5351781845	1.9205601215	2.452272892	4.0345096588
C08250721	dude_decoys_a	1.7476269007	2.6033556461	2.0512273312	1.9786678553
C41565862	dude_decoys_a	5.8448648453	4.95226717	4.4177284241	1.9702495337
C24836342	dude_decoys_a	0.6788814068	3.5541071892	2.3396861553	2.4311506748
C14479949	dude_decoys_a	3.7252290249	4.2084598541	2.0749018192	2.2042164803
C57571226	dude_decoys_a	4.6204957962	5.0051608086	3.0941348076	4.7418045998
C00220789	dude_decoys_a	2.2437486649	1.8422540426	1.9050788879	3.1335813999
C43658704	dude_decoys_a	3.6734614372	3.4591758251	1.5210292339	3.0216956139
C62049357	dude_decoys_a	2.0549681187	3.1076374054	0.9079320431	1.9206447601
C14094481	dude_decoys_a	1.3408429623	1.2508225441	2.7836148739	2.3113780022
C16712711	dude_decoys_a	1.7459315062	2.3489568233	3.4777095318	0.7627930641
C19759026	dude_decoys_a	2.6092469692	2.6869831085	1.0525342226	2.0351393223
C00856277	dude_decoys_a	3.2783169746	2.9866607189	1.3307820559	3.5974667072
C55841671	dude_decoys_a	2.3426613808	3.088060379	2.3398091793	2.9599070549
C64835298	dude_decoys_a	2.9548299313	3.1750953197	0.7260190248	1.7284100056
C00871835	dude_decoys_a	2.6396486759	3.7656283379	2.0612142086	1.0572403669
C46561639	dude_decoys_a	3.5902032852	3.1040904522	1.2181100845	1.5780687332
C49055870	dude_decoys_a	4.165266037	3.8040411472	3.4930253029	3.7592480183
C04704723	dude_decoys_a	2.6259086132	1.4586623907	3.1311092377	1.4903911352
C32691814	dude_decoys_a	2.7988061905	2.1569998264	1.4329959154	3.2228727341
C05604725	dude_decoys_a	4.0844988823	4.0855312347	0.9205543995	3.2782988548
C37104905	dude_decoys_a	3.2970542908	2.3519816399	3.715233326	1.4759600163
C49509458	dude_decoys_a	3.4141488075	3.9855613708	2.6868374348	2.5712487698
C08873693	dude_decoys_a	3.3391499519	2.4113049507	1.406684041	1.5647559166
C03208573	dude_decoys_a	2.9235844612	3.9167134762	0.8124887347	1.8403954506
C13166343	dude_decoys_a	2.0695626736	2.0123605728	1.3639611006	1.7947891951
C08408045	dude_decoys_a	2.0169069767	2.4335019588	1.4112118483	2.0544271469
C43548132	dude_decoys_a	2.5553143024	1.4540280104	0.9232614636	0.8653624058
C38419533	dude_decoys_a	1.4625301361	1.6737849712	0.412242502	0.4991676211
C13256579	dude_decoys_a	3.6937935352	1.3821028471	0.6716192365	2.9930214882
C57681941	dude_decoys_a	4.2931261063	4.8449835777	4.7291059494	3.4262163639
C66332505	dude_decoys_a	2.0381352901	1.947634697	0.6807508469	2.7320885658
C21127515	dude_decoys_a	5.0474228859	5.326174736	4.2960987091	4.6586360931
C15078461	dude_decoys_a	1.7747000456	1.5566284657	4.1544938087	2.4245116711
C19576575	dude_decoys_a	4.9436945915	4.4702825546	4.004149437	3.0133652687
C08062009	dude_decoys_a	2.8520274162	2.4516999722	1.5062656403	1.77344203
C48974392	dude_decoys_a	3.2188465595	3.7866504192	3.0654709339	2.1345381737
C63857163	dude_decoys_a	1.6670622826	0.6899502873	3.352799654	3.3402402401
C60553099	dude_decoys_a	3.3706147671	2.1329753399	1.021974206	1.2766305208
C13356439	dude_decoys_a	3.1397964954	5.5067138672	3.8845767975	1.9406951666
C06822958	dude_decoys_a	4.7472257614	5.3886094093	1.6415110826	4.7665567398
C09365535	dude_decoys_a	2.1521716118	1.3393775225	1.3416160345	4.3345112801
C06741040	dude_decoys_a	1.3556829691	3.8289413452	1.6247640848	2.6021957397
C06014529	dude_decoys_a	0.913572371	1.9001991749	0.9524742961	1.6774306297
C63927084	dude_decoys_a	3.2670812607	4.310605526	2.5859026909	2.7834525108
C36633310	dude_decoys_a	3.0995612144	3.9747908115	1.1736207008	3.78485322
C64345616	dude_decoys_a	1.0531454086	1.397044301	1.1329997778	2.6321442127
C10786365	dude_decoys_a	3.133061409	3.3735530376	1.590928793	1.511993289
C42675462	dude_decoys_a	4.3020672798	3.624556303	1.650429368	1.7516635656
C05703016	dude_decoys_a	2.7120804787	4.0107793808	2.9750676155	3.3251028061
C67306590	dude_decoys_a	2.080378294	4.0003504753	0.9709062576	3.4367582798
C65626652	dude_decoys_a	1.1293306351	2.3987703323	0.6601668	1.3600589037
C05836440	dude_decoys_a	2.4647185802	2.4460656643	0.6812906265	1.5118882656
C05017024	dude_decoys_a	1.6211585999	1.8239585161	2.1570289135	2.3246634007
C65803189	dude_decoys_a	2.7858145237	1.8954113722	1.0631153584	1.16101408
C28577294	dude_decoys_a	2.6013934612	0.8271231651	1.1864552498	4.8228111267
C49914896	dude_decoys_a	2.0108926296	3.2331645489	1.97889328	1.184189558
C61489980	dude_decoys_a	1.4317111969	2.5896866322	0.9297224879	1.7051900625
C03444059	dude_decoys_a	4.2491140366	1.3592492342	1.5155596733	3.7212526798
C57624483	dude_decoys_a	1.1968200207	2.0086948872	1.6170779467	1.626103878
C03604209	dude_decoys_a	1.8766111135	5.8927297592	2.7323186398	4.5081906319
C36853797	dude_decoys_a	3.8165886402	4.5980377197	4.2060046196	5.5127229691
C55493140	dude_decoys_a	5.1047701836	4.303797245	4.2309346199	4.7286558151
C07850973	dude_decoys_a	3.5828306675	2.4074714184	2.4923121929	2.6186537743
C66126667	dude_decoys_a	1.5842692852	2.4975202084	2.673718214	2.7183673382
C37104435	dude_decoys_a	3.6230256557	5.7290458679	4.7313389778	2.3070807457
C09338867	dude_decoys_a	2.5095899105	4.3173322678	4.0245008469	4.6641783714
C46864271	dude_decoys_a	1.8452227116	2.5772404671	3.3457467556	1.6076484919
C43240889	dude_decoys_a	4.9201860428	3.462002039	2.5943365097	1.393185854
C00240337	dude_decoys_a	2.962069273	3.9691529274	3.3531637192	2.3962385654
C37924107	dude_decoys_a	0.9859011769	2.9246585369	4.6930522919	2.5435709953
C02964122	dude_decoys_a	3.6228303909	2.6744346619	1.8482179642	4.3702487946
C13806086	dude_decoys_a	4.629140377	4.1103639603	2.9987270832	1.8186010122
C66880105	dude_decoys_a	1.9070813656	4.0442299843	2.1289916039	3.2155659199
C67516263	dude_decoys_a	0.7593892813	0.5893069506	0.4399983287	1.3706381321
C39738912	dude_decoys_a	1.2214751244	3.6623141766	2.5586206913	2.0876421928
C11635996	dude_decoys_a	3.3641316891	3.9388742447	1.3345538378	3.1790311337
